Name,IPEDS_UNITID,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Charles Leiserson,166683,Massachusetts Institute of Technology,1988,Full,Algorithms & Theory,Yale University - USA,,Carnegie Mellon University - USA,,http://people.csail.mit.edu/cel/resume.pdf,http://www.csail.mit.edu/user/960,,
Collin Stultz,166683,Massachusetts Institute of Technology,,Associate,Hardware & Architecture,Harvard University - USA,Harvard University - USA,Harvard University - USA,,http://www.rle.mit.edu/people/directory/collin-stultz/,https://hst.mit.edu/users/cmstultzcsailmitedu,,
Dana Moshkovitz,166683,Massachusetts Institute of Technology,2010,Assistant,Algorithms & Theory,Open University - United Kingdom,Tel Aviv University - Israel,Weizmann Institute of Science - Israel,,http://adams.academy.ac.il/wp-content/uploads/2013/06/cv.pdf,,,
Daniel Jackson,166683,Massachusetts Institute of Technology,1997,Full,Software Engineering,,University of Oxford - United Kingdom,Massachusetts Institute of Technology - USA,,http://www.csail.mit.edu/user/727,,,
Daniel Sanchez,166683,Massachusetts Institute of Technology,2012,Assistant,Distributed & Parallel Computing,University of Wisconsin - Madison - USA,Stanford University - USA,Stanford University - USA,,http://people.csail.mit.edu/sanchez/cv.pdf,http://people.csail.mit.edu/sanchez/,,
Daniela Rus,166683,Massachusetts Institute of Technology,2008,Full,Security & Privacy,,,Cornell University - USA,,http://www.csail.mit.edu/user/876,http://people.csail.mit.edu/rus/,,
David Gifford,166683,Massachusetts Institute of Technology,1982,Full,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,Stanford University - USA,Stanford University - USA,,http://cgs.csail.mit.edu/people/gifford.html,,,
David Karger,166683,Massachusetts Institute of Technology,1995,Full,Human-Computer Interaction,Harvard University - USA,University of Cambridge - United Kingdom,Stanford University - USA,Bell Laboratories - USA,http://people.csail.mit.edu/karger/resume.pdf,http://www.csail.mit.edu/user/1542,,
David Perreault,166683,Massachusetts Institute of Technology,2001,Associate,Hardware & Architecture,Boston University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/david-perreault/,,,
Devavrat Shah,166683,Massachusetts Institute of Technology,2005,Associate,Networks & Communications,Indian Institute of Technology - Bombay - India,,Stanford University - USA,,http://web.mit.edu/devavrat/www/bio.html,,,
Dina Katabi,166683,Massachusetts Institute of Technology,2003,Full,Networks & Communications,Damascus University - Syria,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,people.csail.mit.edu/dina/,,,
Elfar Adalsteinsson,166683,Massachusetts Institute of Technology,2004,Associate,Hardware & Architecture,University of Iceland - Iceland,Stanford University - USA,Stanford University - USA,,http://www.rle.mit.edu/people/directory/elfar-adalsteinsson/,,,
Frederick Hennie III,166683,Massachusetts Institute of Technology,,Full,Multimedia,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.scholars.northwestern.edu/printpage_cv_ctrl.asp?n=Thrasyvoulos+N+Pappas&u_id=1800&oe_id=1&o_id=118,,,
Fredo Durand,166683,Massachusetts Institute of Technology,2002,Full,Computer Vision,,,University of Grenoble - France,Massachusetts Institute of Technology - USA,http://people.csail.mit.edu/fredo/,http://people.csail.mit.edu/fredo/DurandCV.pdf,,
George Verghese,166683,Massachusetts Institute of Technology,1977,Full,Networks & Communications,Indian Institute of Technology - Madras - India,North Carolina State University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://en.wikipedia.org/wiki/George_Varghese,,,
Gerald Sussman,166683,Massachusetts Institute of Technology,,Full,Programming Languages,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://groups.csail.mit.edu/mac/users/gjs/biography.html,http://groups.csail.mit.edu/mac/users/gjs/gjs.html,,
Gregory W. Wornell,166683,Massachusetts Institute of Technology,1991,Full,Algorithms & Theory,University of British Columbia - Canada,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/gregory-wornell/,http://allegro.mit.edu/~gww/bio.html,,
Hal Abelson,166683,Massachusetts Institute of Technology,,Full,Artificial Intelligence,Princeton University - USA,Princeton University - USA,Massachusetts Institute of Technology - USA,,http://www.csail.mit.edu/user/1535,,,
Hari Balakrishnan,166683,Massachusetts Institute of Technology,,Full,Networks & Communications,Indian Institute of Technology - Madras - India,Indian Institute of Technology - Madras - India,University of California - Berkeley - USA,,http://nms.csail.mit.edu/~hari/,,,
Jacob K. White,166683,Massachusetts Institute of Technology,1983,Full,Hardware & Architecture,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.rle.mit.edu/people/directory/jacob-white/,,,
Jae Lim,166683,Massachusetts Institute of Technology,1978,Full,Natural Language & Speech,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/jae-lim/,,,
Joel Moses,166683,Massachusetts Institute of Technology,1978,Full,Artificial Intelligence,,,Massachusetts Institute of Technology - USA,,http://esd.mit.edu/Faculty_Pages/moses/Moses-vita-7-9-2013.4.pdf,http://www.csail.mit.edu/user/1000,,
John Guttag,166683,Massachusetts Institute of Technology,1979,Full,Networks & Communications,Brown University - USA,Brown University - USA,University of Toronto - Canada,,http://people.csail.mit.edu/guttag/,,,
John Tsitsiklis,166683,Massachusetts Institute of Technology,1980,Full,Operating Systems,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,https://lids.mit.edu/people/faculty/tsitsiklis-john.html,http://www.mit.edu/~jnt/home.html,,
Konstantinos Daskalakis,166683,Massachusetts Institute of Technology,2009,Associate,Algorithms & Theory,National Technical University of Athens - Greece,,University of California - Berkeley - USA,,http://www.csail.mit.edu/user/1825,http://www.linkedin.com/pub/constantinos-daskalakis/60/79b/348,,
Leslie Kaelbling,166683,Massachusetts Institute of Technology,2000,Full,Artificial Intelligence,Stanford University - USA,,Stanford University - USA,,http://people.csail.mit.edu/lpk/,http://www.csail.mit.edu/user/808,,
Li-Shiuan Peh,166683,Massachusetts Institute of Technology,2009,Associate,Networks & Communications,National University of Singapore - Singapore,Stanford University - USA,Stanford University - USA,,http://people.csail.mit.edu/peh/cv_jul13.pdf,,,
Luca Daniel,166683,Massachusetts Institute of Technology,2003,Associate,Hardware & Architecture,,Universita di Padova - Italy,University of California - Berkeley - USA,,http://www.mit.edu/~dluca/cv/,,,
M. Frans Kaashoek,166683,Massachusetts Institute of Technology,1993,Full,Operating Systems,,Vrije Universiteit - Netherlands,Vrije Universiteit - Netherlands,,http://en.wikipedia.org/wiki/Frans_Kaashoek,,,
Madhu Sudan,166683,Massachusetts Institute of Technology,2007,Associate,Algorithms & Theory,Indian Institute of Technology - Delhi - India,,University of California - Berkeley - USA,,http://people.csail.mit.edu/madhu/,http://people.csail.mit.edu/madhu/long-cv.pdf,,
Manolis Kellis,166683,Massachusetts Institute of Technology,2004,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Broad Institute of MIT & Harvard University - USA - USA,http://web.mit.edu/manoli/www/resume.pdf,,,
Martin Rinard,166683,Massachusetts Institute of Technology,2000,Full,Programming Languages,Brown University - USA,,Stanford University - USA,,http://people.csail.mit.edu/rinard/cv.pdf,http://www.csail.mit.edu/user/724,,
Marvin Minsky,166683,Massachusetts Institute of Technology,1958,Full,Artificial Intelligence,Harvard University - USA,,Princeton University - USA,,http://web.media.mit.edu/~minsky/minskybiog.html,http://web.media.mit.edu/~minsky/,,
Michael R. Watts,166683,Massachusetts Institute of Technology,2010,Associate,Networks & Communications,Tufts University - USA,,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/michael-watts/,,,
Muriel Medard,166683,Massachusetts Institute of Technology,1995,Full,Networks & Communications,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/muriel-medard/,http://www.mit.edu/~medard/bio/LtestCVNovember2012.pdf,,
Nickolai Zeldovich,166683,Massachusetts Institute of Technology,,Associate,Operating Systems,Massachusetts Institute of Technology - USA,,Stanford University - USA,,https://www.csail.mit.edu/user/1705,,,
Nir Shavit,166683,Massachusetts Institute of Technology,,Full,Distributed & Parallel Computing,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Hebrew University of Jerusalem - Israel,,http://www.csail.mit.edu/user/2590,http://www.csail.mit.edu/user/2590,,
Pablo Parrilo,166683,Massachusetts Institute of Technology,,Associate,Software Engineering,University of Buenos Aires - Argentina,,California Institute of Technology - USA,,http://www.mit.edu/~parrilo/Parrilo-bio.txt,http://www.mit.edu/~parrilo/,,
Patrick Jaillet,166683,Massachusetts Institute of Technology,2002,Full,Algorithms & Theory,,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://web.mit.edu/jaillet/www/general/bio.html,,,
Patrick Winston,166683,Massachusetts Institute of Technology,,Full,Artificial Intelligence,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://people.csail.mit.edu/phw/vitae.html,http://www.csail.mit.edu/user/804,,
Peter Szolovits,166683,Massachusetts Institute of Technology,,Full,Artificial Intelligence,,,California Institute of Technology - USA,,http://groups.csail.mit.edu/medg/people/psz/home/Pete_MEDG_site/Home.html,,,
Piotr Indyk,166683,Massachusetts Institute of Technology,2000,Full,Algorithms & Theory,,Warsaw University - Poland,Stanford University - USA,,http://www.csail.mit.edu/user/1540,,,
Rahul Sarpeshkar,166683,Massachusetts Institute of Technology,,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,,California Institute of Technology - USA,,http://www.rle.mit.edu/acbs/people/,http://en.wikipedia.org/wiki/Rahul_Sarpeshkar,,
Rajeev Ram,166683,Massachusetts Institute of Technology,2007,Full,Networks & Communications,California Institute of Technology - USA,,University of California - Santa Barbara - USA,,http://www.rle.mit.edu/sclaser/documents/RajeevRamCV_000.pdf,http://www.rle.mit.edu/people/directory/rajeev-ram/,,
Randall Davis,166683,Massachusetts Institute of Technology,1978,Full,Artificial Intelligence,Dartmouth College - USA,,Stanford University - USA,,http://www.csail.mit.edu/user/805,,,
Regina Barzilay,166683,Massachusetts Institute of Technology,2005,Associate,Natural Language & Speech,,,Columbia University - USA,Cornell University - USA,https://www.cs.ualberta.ca/news-events/special-guests-visitors/regina-barzilay,http://www.cl.cam.ac.uk/~rr439/papers/roi_reichart_cv.pdf,,
Rob Miller,166683,Massachusetts Institute of Technology,2002,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Carnegie Mellon University - USA,,http://people.csail.mit.edu/rcm/,,,
Robert Berwick,166683,Massachusetts Institute of Technology,,Full,Natural Language & Speech,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://bcs.mit.edu/people/berwick.html,,,
Robert Morris,166683,Massachusetts Institute of Technology,,Full,Networks & Communications,Harvard University - USA,,Harvard University - USA,,http://pdos.csail.mit.edu/~rtm/,http://en.wikipedia.org/wiki/Robert_Tappan_Morris,http://www.csail.mit.edu/user/972,
Ron Weiss,166683,Massachusetts Institute of Technology,2009,Associate,Bioinformatics & Computational Biology,Brandeis University - USA,,Massachusetts Institute of Technology - USA,,http://webcache.googleusercontent.com/search?q=cache:pSqiCBWuC60J:www.linkedin.com/pub/ron-weiss/3/922/541+&cd=3&hl=en&ct=clnk&gl=in,,,
Ronald Rivest,166683,Massachusetts Institute of Technology,1974,Full,Security & Privacy,Yale University - USA,,Stanford University - USA,INRIA - Rocquencourt - France,http://www.csail.mit.edu/user/1294,http://people.csail.mit.edu/rivest/,,
Ronitt Rubinfeld,166683,Massachusetts Institute of Technology,1998,Associate,Algorithms & Theory,University of Michigan - USA,,University of California - Berkeley - USA,,http://www.csail.mit.edu/user/896,http://webcache.googleusercontent.com/search?q=cache:rmsVKZU1ULQJ:people.csail.mit.edu/ronitt/cv.ps+&cd=1&hl=en&ct=clnk&gl=in,,
Russell Tedrake,166683,Massachusetts Institute of Technology,2012,Associate,Machine Learning & Pattern Recognition,University of Michigan - USA,,Massachusetts Institute of Technology - USA,,http://groups.csail.mit.edu/locomotion/russt_cv.pdf,http://groups.csail.mit.edu/locomotion/russt.html,,
Saman Amarasinghe,166683,Massachusetts Institute of Technology,,Full,Programming Languages,Cornell University - USA,Stanford University - USA,Stanford University - USA,,http://www.csail.mit.edu/user/693,,,
Samuel Madden,166683,Massachusetts Institute of Technology,2004,Full,Databases,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,Intel - USA,http://en.wikipedia.org/wiki/Samuel_Madden_(computer_scientist),,,
Scott Aaronson,166683,Massachusetts Institute of Technology,2007,Associate,Algorithms & Theory,Cornell University - USA,,University of California - Berkeley - USA,University of Waterloo - Ontario - Canada,http://www.scottaaronson.com/vita.pdf,,,
Seth Teller,166683,Massachusetts Institute of Technology,,Full,Computer Vision,,,University of California - Berkeley - USA,Princeton University - USA,http://www.csail.mit.edu/user/1544,http://people.csail.mit.edu/teller/,,
Shafrira Goldwasser,166683,Massachusetts Institute of Technology,1983,Full,Security & Privacy,Carnegie Mellon University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://en.wikipedia.org/wiki/Shafi_Goldwasser,,,
Silvio Micali,166683,Massachusetts Institute of Technology,1983,Full,Security & Privacy,University of Rome - La Sapienza - Italy,,University of California - Berkeley - USA,,http://www.csail.mit.edu/user/994,http://people.csail.mit.edu/silvio/CV.pdf,,
Srini Devadas,166683,Massachusetts Institute of Technology,1988,Full,Hardware & Architecture,Indian Institute of Technology - Madras - India,,University of California - Berkeley - USA,,http://people.csail.mit.edu/devadas/,,,
Stephen Ward,166683,Massachusetts Institute of Technology,,Full,Hardware & Architecture,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://www.csail.mit.edu/user/1517,,,
Tomas Lozano-Perez,166683,Massachusetts Institute of Technology,,Full,Artificial Intelligence,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.csail.mit.edu/user/810,http://people.csail.mit.edu/tlp/,,
Tommi Jaakkola,166683,Massachusetts Institute of Technology,1998,Full,Machine Learning & Pattern Recognition,,University of Helsinki - Finland,Massachusetts Institute of Technology - USA,University of California - Santa Cruz - USA,http://people.csail.mit.edu/tommi/tommi.html,http://www.csail.mit.edu/user/813,,
Victor Zue,166683,Massachusetts Institute of Technology,,Full,Natural Language & Speech,University of Florida - USA,University of Florida - USA,Massachusetts Institute of Technology - USA,,http://www.shiae.cuhk.edu/hk/seminar/Oct312008_ProfVictorZue_DL.pdf,http://dspace.mit.edu/bitstream/handle/1721.1/29469/Zue_Victor_ScD_1976.pdf?sequence=1,,
Vinod Vaikuntanathan,166683,Massachusetts Institute of Technology,2013,Assistant,Security & Privacy,Indian Institute of Technology - Madras - India,,Massachusetts Institute of Technology - USA,IBM Research - New York - USA,http://people.csail.mit.edu/vinodv/,,,
William Freeman,166683,Massachusetts Institute of Technology,2001,Full,Computer Vision,Stanford University - USA,Stanford University - USA,Massachusetts Institute of Technology - USA,,http://www.csail.mit.edu/user/800,,,
William Peake,166683,Massachusetts Institute of Technology,,Full,Machine Learning & Pattern Recognition,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.rle.mit.edu/people/directory/william-peake/,,,
Wojciech Matusik,166683,Massachusetts Institute of Technology,2011,Associate,Graphics,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://people.csail.mit.edu/wojciech/,,,
Yury Polyanskiy,166683,Massachusetts Institute of Technology,2011,Assistant,Algorithms & Theory,,Princeton University - USA,Princeton University - USA,,http://people.lids.mit.edu/yp/cv.pdf,http://people.lids.mit.edu/yp/homepage/,,
Allan Gottlieb,193900,New York University,,Full,Distributed & Parallel Computing,Massachusetts Institute of Technology - USA,,Brandeis University - USA,,http://cs.nyu.edu/~gottlieb/;http://cs.nyu.edu/~gottlieb/tr/,http://www.cs.nyu.edu/cs/review95/node10.html,,
Benjamin Goldberg,193900,New York University,1994,Associate,Programming Languages,Williams College - USA,Yale University - USA,Yale University - USA,,http://cs.nyu.edu/cs/faculty/goldberg/,,,
Bhubaneswar Mishra,193900,New York University,,Full,Computer Education,Indian Institute of Technology - Kharagpur - India,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://cs.nyu.edu/cs/faculty/mishra/,,,
Chee K. Yap,193900,New York University,1981,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,Yale University - USA,Yale University - USA,,http://cs.nyu.edu/cs/faculty/yap/,,,
Christoph Bregler,193900,New York University,2002,Full,Multimedia,Karlsruhe Institute of Technology - Germany,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://cims.nyu.edu/~bregler/bregler-CV.pdf,,,
Clark Barrett,193900,New York University,,Associate,Algorithms & Theory,Brigham Young University - USA,Stanford University - USA,Stanford University - USA,,http://cs.nyu.edu/~barrett/,,,
Davi Geiger,193900,New York University,1998,Associate,Computer Vision,Pontifical Catholic University of Rio de Janeiro - Brazil,,Massachusetts Institute of Technology - USA,,http://cs.nyu.edu/cs/faculty/geiger/,http://www.visgraf.impa.br/Visitors/1998.html,,
David Sontag,193900,New York University,2011,Assistant,Machine Learning & Pattern Recognition,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Microsoft Research - USA,http://www.cs.nyu.edu/~dsontag/,,,
Denis Zorin,193900,New York University,,Full,Graphics,Moscow Institute of Physics and Technology - Russia,California Institute of Technology - USA,California Institute of Technology - USA,,http://mrl.nyu.edu/~dzorin/,,,
Dennis Shasha,193900,New York University,1984,Full,Databases,Yale University - USA,Syracuse University - USA,Harvard University - USA,,http://cs.nyu.edu/cs/faculty/shasha/,,,
Ernest Davis,193900,New York University,1983,Full,Artificial Intelligence,Massachusetts Institute of Technology - USA,Yale University - USA,Yale University - USA,,http://cs.nyu.edu/cs/faculty/davise/,,,
Helen Nissenbaum,193900,New York University,2001,Full,Security & Privacy,University of the Witwatersrand - South Africa,Stanford University - USA,Stanford University - USA,Princeton University - USA,http://www.nyu.edu/projects/nissenbaum/main_cv.html,,,
Jinyang Li,193900,New York University,2012,Associate,Networks & Communications,National University of Singapore - Singapore,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://www.news.cs.nyu.edu/~jinyang/,,,
Joel Spencer,193900,New York University,2010,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,Harvard University - USA,Harvard University - USA,Harvard University - USA,http://cs.nyu.edu/cs/faculty/spencer/,,,
Juliana Freire,193900,New York University,2014,Affiliate,Data Mining,Federal University of Ceará - Brazil,State University of New York - Stony Brook - USA,State University of New York - Stony Brook - USA,,http://vgc.poly.edu/~juliana/vitae-short.pdf,,,
Kenneth Perlin,193900,New York University,1987,Full,Graphics,Harvard University - USA,New York University - USA,New York University - USA,,http://mrl.nyu.edu/~perlin/,,,
Lakshminarayanan Subramanian,193900,New York University,2006,Associate,Networks & Communications,Indian Institute of Technology - Madras - India,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://cs.nyu.edu/~lakshmi/Lakshmi/Home.html,http://www.cs.nyu.edu/~lakshmi/cv.pdf,,
Margaret H. Wright,193900,New York University,,Full,Scientific Computing,Stanford University - USA,Stanford University - USA,Stanford University - USA,,http://as.nyu.edu/object/MargaretWright.html,,,
Mehryar Mohri,193900,New York University,2004,Full,Machine Learning & Pattern Recognition,École Polytechnique - France,École Normale Supérieure - France,Paris XI - France,Bell Laboratories - USA,http://cs.nyu.edu/cs/faculty/mohri/,,,
Michael L. Overton,193900,New York University,1979,Full,Software Engineering,University of British Columbia - Canada,Stanford University - USA,Stanford University - USA,,http://cs.nyu.edu/cs/faculty/overton/,,,
Michael Walfish,193900,New York University,2014,Associate,Security & Privacy,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.utexas.edu/~mwalfish/,,,
Mohamed Zahran,193900,New York University,2010,Clinical,Hardware & Architecture,Cairo University - Cairo - Egypt,Cairo University - Cairo - Egypt,University of Maryland - College Park - USA,,http://www.mzahran.com/cv.pdf,,,
Oded Regev,193900,New York University,2009,Full,Algorithms & Theory,,,Tel Aviv University - Israel,,http://www.cims.nyu.edu/~regev/,http://cs.nyu.edu/webapps/spring2012/colloquia/115,,
Olof Widlund,193900,New York University,,Full,Algorithms & Theory,,,Uppsala University - Sweden,,http://cs.nyu.edu/cs/faculty/widlund/,http://en.wikipedia.org/wiki/Olof_B._Widlund,,
Panayotis Mavromatis,193900,New York University,,Affiliate,Multimedia,University of Cambridge - United Kingdom,Boston University - USA,Eastman School of Music - USA,,http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis,,,
Patrick Cousot,193900,New York University,,Full,Software Engineering,,,Université Joseph Fourier - France,,http://cs.nyu.edu/~pcousot/,,,
Ralph Grishman,193900,New York University,1973,Full,Hardware & Architecture,Columbia College - USA,Columbia University - USA,Columbia University - USA,,http://cs.nyu.edu/cs/faculty/grishman/,,,
Richard Bonneau,193900,New York University,2005,Assistant,Bioinformatics & Computational Biology,Florida State University - USA,University of Washington - USA,University of Washington - USA,,http://bonneaulab.bio.nyu.edu/files/bonneau-extendedCV_5.pdf,,,
Richard Cole,193900,New York University,2011,Full,Algorithms & Theory,University College - Oxford - United Kingdom,Cornell University - USA,Cornell University - USA,,http://cs.nyu.edu/cs/faculty/cole/,,,
Rob Fergus,193900,New York University,2007,Associate,Computer Vision,University of Cambridge - United Kingdom,California Institute of Technology - USA,University of Oxford - United Kingdom,,http://cs.nyu.edu/~fergus/pmwiki/pmwiki.php,,,
Robert Grimm,193900,New York University,2002,Associate,Programming Languages,Massachusetts Institute of Technology - USA,University of Washington - USA,University of Washington - USA,,http://cs.nyu.edu/~rgrimm/,,,
Subhash Khot,193900,New York University,2008,Full,Algorithms & Theory,Indian Institute of Technology - Bombay - India,,Princeton University - USA,,http://cs.nyu.edu/~khot/publications.html,http://en.wikipedia.org/wiki/Subhash_Khot,,
Thomas Wies,193900,New York University,2011,Assistant,Software Engineering,,Saarland University - Germany,Albert Ludwigs University of Freiburg - Germany,Institute of Science and Technology - Austria,http://cs.nyu.edu/wies/,,,
Victor Shoup,193900,New York University,2002,Full,Algorithms & Theory,University of Wisconsin - Eau Claire - USA,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,http://www.shoup.net/resume.pdf,,,
Yann LeCun,193900,New York University,2003,Full,Machine Learning & Pattern Recognition,École Supérieure d'Ingénieurs en Électronique et Électrotechnique - France,Universite Pierre et Marie Curie - France,Universite Pierre et Marie Curie - France,University of Toronto - Canada,http://yann.lecun.com/,,,
Yevgeniy Dodis,193900,New York University,2001,Full,Security & Privacy,New York University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,IBM Thomas J. Watson Research Center - USA,http://cs.nyu.edu/~dodis/,,,
Zvi Kedem,193900,New York University,1991,Full,Distributed & Parallel Computing,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Massachusetts Institute of Technology - USA,http://cs.nyu.edu/cs/faculty/kedem/,,,
Ben Watson,199193,North Carolina State University,2006,Associate,Graphics,University of California - Irvine - USA,,Georgia Institute of Technology - USA,,http://www.csc.ncsu.edu/people/bwatson,,,
Blair D. Sullivan,199193,North Carolina State University,2013,Assistant,Algorithms & Theory,Georgia Institute of Technology - USA,Princeton University - USA,Princeton University - USA,,http://www.csc.ncsu.edu/people/vbsulliv,,,
Carla D. Savage,199193,North Carolina State University,,Full,Algorithms & Theory,Case Western Reserve University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.csc.ncsu.edu/people/savage,,,
Christopher G. Healey,199193,North Carolina State University,2003,Full,Graphics,University of Waterloo - Ontario - Canada,University of British Columbia - Canada,University of British Columbia - Canada,University of California - Berkeley - USA,http://www.csc.ncsu.edu/people/healey,,,
David L. Roberts,199193,North Carolina State University,2010,Assistant,Artificial Intelligence,Colgate University - USA,,Georgia Institute of Technology - USA,,https://www.csc.ncsu.edu/people/dlrober4,,,
David Sturgill,199193,North Carolina State University,2011,Assistant,Distributed & Parallel Computing,University of South Carolina - USA,Cornell University - USA,Cornell University - USA,,http://www.csc.ncsu.edu/news/1197,,,
David Thuente,199193,North Carolina State University,2001,Full,Networks & Communications,Lorse College - USA,University of Kansas - USA,University of Kansas - USA,,http://www.csc.ncsu.edu/research/newsletter/2002/,,,
Dennis R. Bahler,199193,North Carolina State University,1987,Associate,Artificial Intelligence,Rice University - USA,University of Virginia - USA,University of Virginia - USA,,http://www4.ncsu.edu/~bahler/education.html,,,
Donald Bitzer,199193,North Carolina State University,1990,Full,Hardware & Architecture,,,University of Illinois at Urbana-Champaign - USA,,http://www.csc.ncsu.edu/people/bitzer,,,
Douglas S. Reeves,199193,North Carolina State University,1987,Full,Security & Privacy,Indiana University - USA,University of Louisville - USA,Pennsylvania State University - USA,,http://reeves.csc.ncsu.edu/resume.shtml,,,
Edward Gehringer,199193,North Carolina State University,2000,Associate,Real-Time & Embedded Systems,Wayne State University - USA,Purdue University - USA,Purdue University - USA,,https://www.csc.ncsu.edu/people/efg,,,
Emerson Murphy-Hill,199193,North Carolina State University,2010,Assistant,Software Engineering,Evergreen State College - USA,,Portland State University - USA,University of British Columbia - Canada,http://people.engr.ncsu.edu/ermurph3/,,,
Frank Mueller,199193,North Carolina State University,2010,Full,Real-Time & Embedded Systems,Technical University of Berlin - Germany,Florida State University - USA,Florida State University - USA,Humboldt University - Berlin - Germany,http://moss.csc.ncsu.edu/~mueller/cv/,,,
George N. Rouskas,199193,North Carolina State University,1994,Full,Networks & Communications,National Technical University of Athens - Greece,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://rouskas.csc.ncsu.edu,,,
Harry Perros,199193,North Carolina State University,,Full,Networks & Communications,University of Athens - Greece,University of Leeds - United Kingdom,Trinity College - Dublin - Ireland,,http://www.csc.ncsu.edu/people/hp,,,
Injong Rhee,199193,North Carolina State University,2001,Full,Networks & Communications,Gyeongbuk University - South Korea,,University of North Carolina - Chapel Hill - USA,Emory University - USA,http://www4.ncsu.edu/~rhee/vita.pdf,,,
James C. Lester,199193,North Carolina State University,1994,Full,Artificial Intelligence,University of Texas - Austin - USA,University of Texas - Austin - USA,University of Texas - Austin - USA,,http://www.intellimedia.ncsu.edu/?author=10,,,
Jon Doyle,199193,North Carolina State University,2001,Full,Artificial Intelligence,University of Houston - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.csc.ncsu.edu/faculty/doyle/info/bio.html,,,
Kemafor Anyanwu Ogan,199193,North Carolina State University,2007,Assistant,Artificial Intelligence,University of Nigeria - Nigeria,,University of Georgia - USA,,http://www.csc.ncsu.edu/people/kogan,,,
Khaled Harfoush,199193,North Carolina State University,,Associate,Security & Privacy,Alexandria University - Egypt,Alexandria University - Egypt,Boston University - USA,,http://www.linkedin.com/pub/khaled-harfoush/10/420/11a,http://www.csc.ncsu.edu/research/newsletter/2002/,,
Kristy Elizabeth Boyer,199193,North Carolina State University,,Assistant,Artificial Intelligence,Valdosta State University - USA,Georgia Institute of Technology - USA,North Carolina State University - USA,,http://www.csc.ncsu.edu/people/keboyer,,,
