UNITID,CIPCODE,MAJORNUM,AWLEVEL,CDISTEDP,XCTOTALT,CTOTALT,XCTOTALM,CTOTALM,XCTOTALW,CTOTALW,XCAIANT,CAIANT,XCAIANM,CAIANM,XCAIANW,CAIANW,XCASIAT,CASIAT,XCASIAM,CASIAM,XCASIAW,CASIAW,XCBKAAT,CBKAAT,XCBKAAM,CBKAAM,XCBKAAW,CBKAAW,XCHISPT,CHISPT,XCHISPM,CHISPM,XCHISPW,CHISPW,XCNHPIT,CNHPIT,XCNHPIM,CNHPIM,XCNHPIW,CNHPIW,XCWHITT,CWHITT,XCWHITM,CWHITM,XCWHITW,CWHITW,XC2MORT,C2MORT,XC2MORM,C2MORM,XC2MORW,C2MORW,XCUNKNT,CUNKNT,XCUNKNM,CUNKNM,XCUNKNW,CUNKNW,XCNRALT,CNRALT,XCNRALM,CNRALM,XCNRALW,CNRALW  
110705,"11.0701",1,17, 2,"R",12,"R",10,"R",2,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",4,"R",2
123961,"11.0701",1,17, 2,"R",24,"R",19,"R",5,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",17,"R",13,"R",4
126614,"11.0701",1,17, 2,"R",4,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
130794,"11.0101",1,17, 2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
139755,"11.0101",1,17, 2,"R",31,"R",26,"R",5,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",25,"R",22,"R",3
139755,"11.0102",1,17, 2,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
139755,"11.0401",1,17, 2,"R",10,"R",4,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2
139755,"11.9999",1,17, 2,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
144050,"11.0701",1,17, 2,"R",11,"R",10,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",5,"R",1,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",4,"R",4,"R",0
145637,"11.0401",1,17, 2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
145637,"11.0701",1,17, 2,"R",61,"R",47,"R",14,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",17,"R",16,"R",1,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",40,"R",28,"R",12
147767,"11.0701",1,17, 2,"R",5,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",1,"Z",0
147767,"11.0701",2,17, 2,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0
162928,"11.0101",1,17, 2,"R",12,"R",11,"R",1,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",4,"R",3,"R",1
163286,"11.0101",1,17, 2,"R",28,"R",24,"R",4,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",8,"R",7,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18,"R",15,"R",3
164988,"11.0701",1,17, 2,"R",4,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0
166027,"11.0701",1,17, 2,"R",7,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
166629,"11.0701",1,17, 2,"R",14,"R",11,"R",3,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",3,"R",1,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",7,"R",5,"R",2
166683,"11.0701",1,17, 2,"R",43,"R",34,"R",9,"Z",0,"Z",0,"Z",0,"R",8,"R",5,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",12,"R",2,"Z",0,"Z",0,"Z",0,"R",6,"R",6,"Z",0,"R",15,"R",11,"R",4
170976,"11.0401",1,17, 2,"R",11,"R",6,"R",5,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",6,"R",4,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1
174066,"11.0101",1,17, 2,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0
174066,"11.0701",1,17, 1,"R",15,"R",13,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",10,"R",2
179867,"11.0701",1,17, 2,"R",6,"R",5,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",3,"R",2,"R",1
182670,"11.0701",1,17, 2,"R",5,"R",4,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",3,"R",1
186380,"11.0101",1,17, 2,"R",17,"R",15,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16,"R",14,"R",2
190150,"11.0701",1,17, 1,"R",19,"R",13,"R",6,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",4,"R",3,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0,"R",5,"R",2,"R",3
190415,"11.0103",1,17, 2,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2,"R",1,"R",1
190415,"11.0701",1,17, 2,"R",16,"R",11,"R",5,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",6,"R",5
193900,"11.0101",1,17, 2,"R",12,"R",11,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",7,"R",6,"R",1
194824,"11.0101",1,17, 2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
194824,"11.0701",1,17, 2,"R",11,"R",10,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8,"R",7,"R",1
195030,"11.0701",1,17, 2,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
196097,"11.0101",1,17, 2,"R",7,"R",6,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",4,"R",1
198419,"11.0101",1,17, 2,"R",9,"R",8,"R",1,"Z",0,"Z",0,"Z",0,"R",7,"R",6,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
199120,"11.0401",1,17, 2,"R",8,"R",0,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",0,"R",6,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1
199120,"11.0701",1,17, 2,"R",10,"R",8,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",6,"R",1
199193,"11.0701",1,17, 2,"R",15,"R",11,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",6,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8,"R",5,"R",3
211440,"11.0102",1,17, 2,"R",20,"R",17,"R",3,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",15,"R",12,"R",3
211440,"11.0103",1,17, 2,"R",10,"R",6,"R",4,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",3,"R",1
211440,"11.0199",1,17, 2,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0
211440,"11.0401",1,17, 2,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0
211440,"11.0701",1,17, 2,"R",19,"R",16,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8,"R",6,"R",2,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",9,"R",8,"R",1
211440,"11.1003",1,17, 2,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0
211440,"11.9999",1,17, 2,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0
214777,"11.0401",1,17, 1,"R",6,"R",5,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0
214777,"11.0701",1,17, 2,"R",24,"R",21,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23,"R",20,"R",3
215062,"11.0101",1,17, 2,"R",8,"R",7,"R",1,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1
215293,"11.0102",1,17, 2,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
215293,"11.0401",1,17, 2,"R",7,"R",2,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",2,"R",5
215293,"11.0701",1,17, 2,"R",6,"R",5,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",4,"R",1
217156,"11.0101",1,17, 2,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0
217156,"11.0701",1,17, 2,"R",11,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",6,"R",6,"Z",0
227757,"11.0101",1,17, 2,"R",6,"R",6,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0
228723,"11.0701",1,17, 2,"R",21,"R",16,"R",5,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13,"R",10,"R",3
228778,"11.0101",1,17, 2,"R",24,"R",21,"R",3,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9,"R",8,"R",1,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",13,"R",11,"R",2
230764,"11.0101",1,17, 2,"R",10,"R",9,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",7,"R",7,"R",0
230764,"11.0701",1,17, 2,"R",5,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",2,"R",2,"R",0
233921,"11.0101",1,17, 2,"R",16,"R",11,"R",5,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",7,"R",3
234076,"11.0101",1,17, 2,"R",17,"R",14,"R",3,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",7,"R",6,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",6,"R",1
236948,"11.0101",1,17, 2,"R",26,"R",22,"R",4,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",11,"R",11,"R",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",10,"R",7,"R",3
236948,"11.0401",1,17, 2,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
240444,"11.0101",1,17, 2,"R",14,"R",12,"R",2,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",6,"R",6,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",5,"R",3,"R",2
