UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
104179, 1,29,3,4,"R",40621,"R",19520,"R",21101,"R",475,"R",186,"R",289,"R",2314,"R",1075,"R",1239,"R",1266,"R",597,"R",669,"R",8676,"R",3771,"R",4905,"R",73,"R",34,"R",39,"R",21825,"R",10437,"R",11388,"R",1537,"R",707,"R",830,"R",1091,"R",577,"R",514,"R",3364,"R",2136,"R",1228
104179, 2,99,3,1,"R",31670,"R",15111,"R",16559,"R",337,"R",134,"R",203,"R",1770,"R",839,"R",931,"R",1056,"R",504,"R",552,"R",7714,"R",3375,"R",4339,"R",68,"R",34,"R",34,"R",17273,"R",8268,"R",9005,"R",1315,"R",607,"R",708,"R",330,"R",171,"R",159,"R",1807,"R",1179,"R",628
104179, 3,99,3,1,"R",31399,"R",14954,"R",16445,"R",334,"R",131,"R",203,"R",1760,"R",836,"R",924,"R",1047,"R",499,"R",548,"R",7675,"R",3357,"R",4318,"R",66,"R",34,"R",32,"R",17155,"R",8191,"R",8964,"R",1309,"R",603,"R",706,"R",325,"R",169,"R",156,"R",1728,"R",1134,"R",594
104179, 4,99,3,1,"R",6881,"R",3184,"R",3697,"R",79,"R",29,"R",50,"R",411,"R",195,"R",216,"R",257,"R",116,"R",141,"R",1765,"R",748,"R",1017,"R",12,"R",6,"R",6,"R",3655,"R",1697,"R",1958,"R",318,"R",137,"R",181,"R",55,"R",25,"R",30,"R",329,"R",231,"R",98
104179, 5,99,3,1,"R",24518,"R",11770,"R",12748,"R",255,"R",102,"R",153,"R",1349,"R",641,"R",708,"R",790,"R",383,"R",407,"R",5910,"R",2609,"R",3301,"R",54,"R",28,"R",26,"R",13500,"R",6494,"R",7006,"R",991,"R",466,"R",525,"R",270,"R",144,"R",126,"R",1399,"R",903,"R",496
104179,11,99,3,1,"R",271,"R",157,"R",114,"R",3,"R",3,"Z",0,"R",10,"R",3,"R",7,"R",9,"R",5,"R",4,"R",39,"R",18,"R",21,"R",2,"Z",0,"R",2,"R",118,"R",77,"R",41,"R",6,"R",4,"R",2,"R",5,"R",2,"R",3,"R",79,"R",45,"R",34
104179,12,99,3,3,"R",8951,"R",4409,"R",4542,"R",138,"R",52,"R",86,"R",544,"R",236,"R",308,"R",210,"R",93,"R",117,"R",962,"R",396,"R",566,"R",5,"Z",0,"R",5,"R",4552,"R",2169,"R",2383,"R",222,"R",100,"R",122,"R",761,"R",406,"R",355,"R",1557,"R",957,"R",600
104179,19,99,3,1,"R",1984,"R",1024,"R",960,"R",34,"R",17,"R",17,"R",77,"R",46,"R",31,"R",83,"R",48,"R",35,"R",553,"R",254,"R",299,"R",2,"R",1,"R",1,"R",1067,"R",566,"R",501,"R",72,"R",39,"R",33,"R",25,"R",15,"R",10,"R",71,"R",38,"R",33
104179,20,99,3,1,"R",22534,"R",10746,"R",11788,"R",221,"R",85,"R",136,"R",1272,"R",595,"R",677,"R",707,"R",335,"R",372,"R",5357,"R",2355,"R",3002,"R",52,"R",27,"R",25,"R",12433,"R",5928,"R",6505,"R",919,"R",427,"R",492,"R",245,"R",129,"R",116,"R",1328,"R",865,"R",463
104179,21,14,1,4,"R",35388,"R",16947,"R",18441,"R",384,"R",157,"R",227,"R",2081,"R",971,"R",1110,"R",1048,"R",475,"R",573,"R",7503,"R",3243,"R",4260,"R",61,"R",32,"R",29,"R",18902,"R",8963,"R",9939,"R",1365,"R",624,"R",741,"R",877,"R",464,"R",413,"R",3167,"R",2018,"R",1149
